lon,lat,co,nh3,no2,bc,pm25,pm10,so2,oc,voc
116.8768133,23.2617808,185.5995529,0,20.07730992,1.033214344,8.461091742,12.24775232,15.80349067,0.882448292,106.026103
117.2239991,23.21913582,0.005540374,0,0.000166316,3.85E-05,0.000150404,0.000238472,8.99E-05,3.45E-05,0.001178124
117.5708799,23.17544883,0,0,0,0,0,0,0,0,0
117.9174489,23.13072159,0,0,0,0,0,0,0,0,0
118.2636991,23.08495593,0,0,0,0,0,0,0,0,0
118.6096237,23.03815371,0,0,0,0,0,0,0,0,0
118.9552157,22.99031682,0,0,0,0,0,0,0,0,0
119.3004684,22.94144722,0,0,0,0,0,0,0,0,0
119.6453749,22.89154688,0,0,0,0,0,0,0,0,0
119.9899286,22.84061783,0,0,0,0,0,0,0,0,0
120.3341228,22.78866215,0,0,0,0,0,0,0,0,0
120.6779508,22.73568193,0,0,0,0,0,0,0,0,0
121.0214061,22.68167933,0,0,0,0,0,0,0,0,0
121.364482,22.62665654,0,0,0,0,0,0,0,0,0
121.7071721,22.5706158,0,0,0,0,0,0,0,0,0
122.04947,22.51355938,0,0,0,0,0,0,0,0,0
122.3913691,22.45548959,0,0,0,0,0,0,0,0,0
122.7328633,22.39640879,0,0,0,0,0,0,0,0,0
123.073946,22.33631937,0,0,0,0,0,0,0,0,0
123.4146112,22.27522377,0,0,0,0,0,0,0,0,0
123.7548525,22.21312446,0,0,0,0,0,0,0,0,0
124.0946637,22.15002397,0,0,0,0,0,0,0,0,0
124.4340389,22.08592484,0,0,0,0,0,0,0,0,0
124.7729719,22.02082969,0,0,0,0,0,0,0,0,0
125.1114567,21.95474113,0,0,0,0,0,0,0,0,0
125.4494874,21.88766184,0,0,0,0,0,0,0,0,0
125.787058,21.81959455,0,0,0,0,0,0,0,0,0
126.1241627,21.75054201,0,0,0,0,0,0,0,0,0
126.4607957,21.68050701,0,0,0,0,0,0,0,0,0
126.7969512,21.60949237,0,0,0,0,0,0,0,0,0
127.1326236,21.53750099,0,0,0,0,0,0,0,0,0
127.4678072,21.46453575,0,0,0,0,0,0,0,0,0
127.8024965,21.39059962,0,0,0,0,0,0,0,0,0
78.11779084,21.70394574,0,0,0,0,0,0,0,0,0
78.45347776,21.77818677,0,0,0,0,0,0,0,0,0
78.78966365,21.85145282,0,0,0,0,0,0,0,0,0
79.12634289,21.92374095,0,0,0,0,0,0,0,0,0
79.46350979,21.99504822,0,0,0,0,0,0,0,0,0
79.80115864,22.06537175,0,0,0,0,0,0,0,0,0
80.13928363,22.13470872,0,0,0,0,0,0,0,0,0
80.47787892,22.20305631,0,0,0,0,0,0,0,0,0
80.81693861,22.27041176,0,0,0,0,0,0,0,0,0
81.15645675,22.33677234,0,0,0,0,0,0,0,0,0
81.49642732,22.40213538,0,0,0,0,0,0,0,0,0
81.83684427,22.46649823,0,0,0,0,0,0,0,0,0
82.17770149,22.52985827,0,0,0,0,0,0,0,0,0
82.51899281,22.59221296,0,0,0,0,0,0,0,0,0
82.86071201,22.65355977,0,0,0,0,0,0,0,0,0
83.20285283,22.7138962,0,0,0,0,0,0,0,0,0
83.54540894,22.77321982,0,0,0,0,0,0,0,0,0
83.88837399,22.83152823,0,0,0,0,0,0,0,0,0
84.23174155,22.88881905,0,0,0,0,0,0,0,0,0
84.57550516,22.94508998,0,0,0,0,0,0,0,0,0
84.9196583,23.00033872,0,0,0,0,0,0,0,0,0
85.26419442,23.05456305,0,0,0,0,0,0,0,0,0
85.6091069,23.10776075,0,0,0,0,0,0,0,0,0
85.95438909,23.15992968,0,0,0,0,0,0,0,0,0
86.3000343,23.21106772,0,0,0,0,0,0,0,0,0
86.64603577,23.26117279,0,0,0,0,0,0,0,0,0
86.99238673,23.31024286,0,0,0,0,0,0,0,0,0
87.33908033,23.35827594,0,0,0,0,0,0,0,0,0
87.68610971,23.40527009,0,0,0,0,0,0,0,0,0
88.03346795,23.45122338,0,0,0,0,0,0,0,0,0
88.38114808,23.49613397,0,0,0,0,0,0,0,0,0
88.72914312,23.54000002,0,0,0,0,0,0,0,0,0
89.07744602,23.58281976,0,0,0,0,0,0,0,0,0
89.42604971,23.62459144,0,0,0,0,0,0,0,0,0
89.77494708,23.66531337,0,0,0,0,0,0,0,0,0
90.12413097,23.7049839,0,0,0,0,0,0,0,0,0
90.47359419,23.74360142,0,0,0,0,0,0,0,0,0
90.82332952,23.78116434,0,0,0,0,0,0,0,0,0
91.1733297,23.81767116,0,0,0,0,0,0,0,0,0
91.52358745,23.85312039,0,0,0,0,0,0,0,0,0
91.87409542,23.88751059,0,0,0,0,0,0,0,0,0
92.22484627,23.92084035,0,0,0,0,0,0,0,0,0
92.5758326,23.95310833,0,0,0,0,0,0,0,0,0
92.927047,23.98431321,0,0,0,0,0,0,0,0,0
93.27848202,24.01445373,0,0,0,0,0,0,0,0,0
93.63013017,24.04352865,0,0,0,0,0,0,0,0,0
93.98198396,24.07153681,0,0,0,0,0,0,0,0,0
94.33403584,24.09847705,0,0,0,0,0,0,0,0,0
94.68627827,24.12434829,0,0,0,0,0,0,0,0,0
95.03870366,24.14914948,0,0,0,0,0,0,0,0,0
95.39130439,24.1728796,0,0,0,0,0,0,0,0,0
95.74407285,24.19553768,0,0,0,0,0,0,0,0,0
96.09700138,24.21712282,0,0,0,0,0,0,0,0,0
96.4500823,24.23763412,0,0,0,0,0,0,0,0,0
96.80330792,24.25707077,0,0,0,0,0,0,0,0,0
97.15667053,24.27543196,0,0,0,0,0,0,0,0,0
97.5101624,24.29271694,7.653996747,0.070815605,1.175007422,0.036583839,0.50977873,0.675158863,1.441136896,0.029948499,4.281124257
97.86377578,24.30892503,126.6413755,1.028992123,17.49969613,0.709179253,8.021948772,10.68766798,21.3903927,0.611723291,69.11738693
98.21750291,24.32405555,64.17277169,0.493627751,8.484506499,0.379583532,3.984209131,5.321293591,10.35908278,0.332600118,33.87234983
98.571336,24.33810789,439.0193931,0.891447818,133.7903666,0.768262581,39.21487227,68.74366617,71.27068896,0.787058225,98.08407881
