FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
53,53.5,0.5,0.019150317,1.1866876e-05,0.017963009,0.0019897714,0.0025699066,0.5831481,19.760916,4.5542423e-05,0.28184518,7.7011276e-07,1.37744e-13,0.027343713,0.12951583,0.9031003,0.031241661,0.051956907,0.105697855,2.5817094
54,54.5,0.5,0.015053184,9.256419e-06,0.015315367,0.002144524,0.00281554,0.4624916,18.486877,5.0196777e-05,0.26227978,5.056548e-07,8.9247416e-14,0.025324866,0.10154325,0.8242791,0.025477,0.048430856,0.09568425,2.2885926
55,55.5,0.5,0.016005464,1.3163003e-05,0.018515829,0.002576008,0.0032117579,0.4964463,20.124859,5.16492e-05,0.28950703,6.405629e-07,1.1527288e-13,0.029723288,0.10936522,0.8272329,0.02665295,0.041216303,0.0932649,2.3007646
56,56.5,0.5,0.016693814,2.3151115e-05,0.023248577,0.0025961515,0.003939194,0.5230147,21.578108,5.555851e-05,0.3059504,8.491495e-07,1.6199031e-13,0.034316827,0.11893586,0.91074514,0.029945284,0.036144886,0.09997402,2.5366209
57,57.5,0.5,0.018600637,2.8387183e-05,0.029514953,0.0025103388,0.0046435487,0.5768372,23.806633,6.305247e-05,0.3187485,1.3209337e-06,2.495479e-13,0.03859753,0.13640453,0.9327569,0.030574232,0.031068953,0.09981989,2.610297
58,58.5,0.5,0.018976012,2.6652013e-05,0.03671874,0.0033538663,0.0051819095,0.5455418,24.53479,6.48891e-05,0.31094143,2.2965482e-06,4.3391278e-13,0.043524873,0.13126346,1.034938,0.0319303,0.022305578,0.10321476,2.8889158
59,59.5,0.5,0.017652927,2.3342465e-05,0.036271635,0.0043979064,0.0051518446,0.49922532,23.700375,6.365094e-05,0.30362558,2.3017528e-06,4.232799e-13,0.044402704,0.12060878,0.9750644,0.030052165,0.018772256,0.096134454,2.6942418
60,60.5,0.5,0.016742034,2.2267248e-05,0.032609038,0.0045578163,0.004923615,0.5000449,22.935568,6.285275e-05,0.30601308,1.7501402e-06,3.3913906e-13,0.041895825,0.11507441,0.9850431,0.026676273,0.023379281,0.100077786,2.684275
61,61.5,0.5,0.017910056,2.4284685e-05,0.0330319,0.004603049,0.0047786483,0.54282784,23.384733,6.439062e-05,0.31435105,1.6407254e-06,3.2867914e-13,0.042749956,0.1266512,1.001129,0.027469322,0.025568625,0.10188775,2.7370627
62,62.5,0.5,0.017274112,2.344041e-05,0.03203909,0.0045358064,0.0044897436,0.53828895,23.235628,6.1410916e-05,0.32002306,1.4562538e-06,3.059735e-13,0.043465324,0.12722336,1.0020807,0.028331457,0.026258022,0.10233018,2.7532732
